RecipeIntent whats the recipe for {stone | Item}
RecipeIntent whats the recipe for a {granite | Item}
RecipeIntent whats the recipe for a {polished granite | Item}
RecipeIntent what is the recipe for {diorite | Item}
RecipeIntent what is the recipe for a {polished diorite | Item}
RecipeIntent what is the recipe for an {andesite | Item}
RecipeIntent recipe for {polished andesite | Item}
RecipeIntent recipe for a {grass | Item}
RecipeIntent recipe for a {dirt | Item}
RecipeIntent recipes for {coarse dirt | Item}
RecipeIntent recipes for a {cobblestone | Item}
RecipeIntent recipes for an {oak wood plank | Item}
RecipeIntent what is in {spruce wood plank | Item}
RecipeIntent what is in a {birch wood plank | Item}
RecipeIntent what is in a {jungle wood plank | Item}
RecipeIntent whats in {acacia wood plank | Item}
RecipeIntent whats in a {dark oak wood plank | Item}
RecipeIntent whats in an {oak sapling | Item}
RecipeIntent what are the ingredients for {spruce sapling | Item}
RecipeIntent what are the ingredients for a {birch sapling | Item}
RecipeIntent what are the ingredients for a {jungle sapling | Item}
RecipeIntent how is {acacia sapling | Item} built
RecipeIntent how is a {dark oak sapling | Item} built
RecipeIntent how is a {bedrock | Item} built
RecipeIntent how is {sand | Item} made
RecipeIntent how is a {red sand | Item} made
RecipeIntent how is a {gravel | Item} made
RecipeIntent how is {gold ore | Item} crafted
RecipeIntent how is an {iron ore | Item} crafted
RecipeIntent how is a {coal ore | Item} crafted
RecipeIntent what do I need for {coal | Item}
RecipeIntent what do I need for an {oak wood | Item}
RecipeIntent what do I need for a {spruce wood | Item}
RecipeIntent what do you need for {birch wood | Item}
RecipeIntent what do you need for a {jungle wood | Item}
RecipeIntent what do you need for an {oak leaves | Item}
RecipeIntent what do I need to get for {spruce leaves | Item}
RecipeIntent what do I need to get for a {birch leaves | Item}
RecipeIntent what do I need to get for a {jungle leaves | Item}
RecipeIntent how can I get {sponge | Item}
RecipeIntent how do I get {glass | Item}
RecipeIntent how can I get a {lapis lazuli ore | Item}
RecipeIntent how do I get a {lapis lazuli block | Item}
RecipeIntent how can I get a {lapis lazuli | Item}
RecipeIntent how do I get a {dispenser | Item}
RecipeIntent how can you get {sandstone | Item}
RecipeIntent how do you get {chiseled sandstone | Item}
RecipeIntent how can you get a {smooth sandstone | Item}
RecipeIntent how do you get a {note block | Item}
RecipeIntent how can you get a {juke box | Item}
RecipeIntent how do you get a {powered rail | Item}
RecipeIntent what do I need to craft {detector rail | Item}
RecipeIntent what do I need to make {sticky piston | Item}
RecipeIntent what do I need to build {cobweb | Item}
RecipeIntent what do I need to craft a {dead shrub | Item}
RecipeIntent what do I need to make a {dead bush | Item}
RecipeIntent what do I need to build a {tall grass | Item}
RecipeIntent what do I need to craft a {fern | Item}
RecipeIntent what do I need to make a {piston | Item}
RecipeIntent what do I need to build a {white wool | Item}
RecipeIntent what ingredients do I need to craft {orange wool | Item}
RecipeIntent what ingredients do I need to make {magenta wool | Item}
RecipeIntent what ingredients do I need to build {light blue wool | Item}
RecipeIntent what ingredients do I need to craft a {yellow wool | Item}
RecipeIntent what ingredients do I need to make a {lime wool | Item}
RecipeIntent what ingredients do I need to build a {pink wool | Item}
RecipeIntent what ingredients do I need to craft a {gray wool | Item}
RecipeIntent what ingredients do I need to make a {light gray wool | Item}
RecipeIntent what ingredients do I need to build a {cyan wool | Item}
RecipeIntent what do I need to have to craft {purple wool | Item}
RecipeIntent what do I need to have to make {blue wool | Item}
RecipeIntent what do I need to have to build {brown wool | Item}
RecipeIntent what do I need to have to craft a {green wool | Item}
